Model,Brand,Price,Max power,Max torque,Cooling System,Transmission,Transmission type,displacement,cylinders,Fuel Tank Capacity,Mileage,Top speed,Kerb weight,Location,Kilometer Driven,Seller Type,ground clearance,seat height
Honda Hornet 2.0,Honda,136391,17.03,16.1,air cooled,5 speed manual,chain drive,184.4,1,12,45,130,142,Chennai,30000,Dealer,167,790
Honda Hness CB350,Honda,200349,20.78,30,air cooled,5 speed manual,chain drive,348.36,1,15,35,125,181,Madurai,21000,Dealer,166,800
Activa,Honda,78396,8.18,10.3,air cooled,automatic,cvt,124,1,5.3,47,90,111,Trichy,41000,Dealer,169,712
Honda Livo,Honda,75659,8.67,9.3,air cooled,4 speed manual,chain drive,109.51,1,9,58,85,115,Kanyakumari,8000,Dealer,163,790
Honda X-Blade,Honda,115759,13.67,14.7,air cooled,5 speed manual,chain drive,162.71,1,12,50,115,143,Salem,50000,Dealer,160,795
Honda CB300F,Honda,226217,23.8,25.6,oil cooled,6 speed manual,chain drive,293.52,1,14.1,nan,155,153,Tirupur,8150,Dealer,177,789
Honda CB350RS,Honda,205107,20.78,30,air cooled,5 speed manual,chain drive,348.36,1,15,35,150,179,Erode,1933,Dealer,168,800
Honda CB300R,Honda,277332,31.1,27.5,liquid cooled,6 speed manual,chain drive,286,1,9.7,30,150,146,Krishnagiri,55750,Dealer,157,801
Honda CD 110 Dream,Honda,71306,8.67,9.3,air cooled,4 speed manual,chain drive,109.51,1,9.1,65,86,112,Coimbatore,15856,Dealer,162,790
CBR,Honda,934817,85.82,57.5,liquid cooled,6 speed manual,chain drive,648.72,4,15.4,nan,230,211,Chennai,27000,Dealer,132,810
Honda CB200X,Honda,148554,17,16.1,air cooled,5 speed manual,chain drive,184.4,1,12,43,130,147,Madurai,3700,Dealer,167,810
Honda Grazia,Honda,82398,8.14,10.3,fan cooled,automatic,cvt,124,1,5.3,45,90,108,Trichy,21938,Dealer,171,708
CBR,Honda,2372222,215,113,liquid cooled,6 speed manual,chain drive,1000,4,16.1,nan,297,201,Kanyakumari,48000,Dealer,115,830
